motion_id,meeting_id,body_id,motion_no,motion_text,motion_type,result_raw,outcome,stage,recommendation,disposition,disposition_method,disposition_confidence,application_id,app_match_method,app_confidence,mover_person_id,seconder_person_id,names_recorded,source_file
632,149,2,5,"Commissioner Quigley — | move that we approve File #4S20 for a two-lot subdivision located at 6141 South Redwood Road, based on the Findings and Conditions of Approval as stated in the Staff Report",Land-Use/Zoning,7-0 Approved (Final Action),Pass,pc_final_action,,approve,keyword,high,69,case_no,high,11,1,1,minutes/2020/2020-04-13/2020-04-14_planning-commission.md
633,149,2,6,"Commissioner Wendel — 1! move for approval of File #5S20 for a plat amendment at 6020, 6030, and 6040 South Summit Vista Boulevard, based on the Findings and Conditions of Approval in the Staff Report",Land-Use/Zoning,7-0 Approved (Final Action),Pass,pc_final_action,,approve,keyword,high,70,case_no,high,16,14,1,minutes/2020/2020-04-13/2020-04-14_planning-commission.md
634,149,2,7,By motion the meeting was adjourned.,Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,16,,0,minutes/2020/2020-04-13/2020-04-14_planning-commission.md
635,150,2,1,"Commissioner Wendel I move that we table File 2G20 until we get further information regarding the small area studies that have either been proposed to City Council or intended to be completed in the near future. Commissioner Quigley – Commissioner Wendel, could we also add to that motion that we would strongly encourage the applicant to continue to have discussions with the Staff and to also advance some of their thoughts and processes too based on tonight’s discussion. Could we include that in the record? Commissioner Wendel – I support that amendment",Procedural/Administrative,6-1 Pass,Pass,pc_final_action,,table,keyword,high,71,case_no,high,16,11,1,minutes/2020/2020-05-11/2020-05-12_planning-commission.md
636,150,2,2,Commissioner Quigley – I would like to make a motion that we also continue or table File 8Z20 until we have the completion of the Master Plan Study and per the discussion on the previous file,Procedural/Administrative,7-0 Pass,Pass,pc_final_action,,,unclassified,low,72,case_no,high,11,9,1,minutes/2020/2020-05-11/2020-05-12_planning-commission.md
637,150,2,3,"Commissioner Wendel - I move that we table File #7G20 #2G20 so that the applicant can make the proper amendments that he would like to the application, with recommendations of Staff",Procedural/Administrative,7-0 Pass,Pass,pc_recommendation,Positive,table,keyword,high,73,case_no,high,16,1,1,minutes/2020/2020-05-11/2020-05-12_planning-commission.md
638,150,2,4,Commissioner Barbieri - I will make a motion to table File #7Z20 with Utah Land Company at 3397 West and 3399 West 4700 South for a zoning map adjustment. I move that we table that and give Mr. Thompson a chance to revisit how he would like to move forward,Procedural/Administrative,7-0 Pass,Pass,pc_recommendation,Positive,table,keyword,high,74,case_no,high,1,15,1,minutes/2020/2020-05-11/2020-05-12_planning-commission.md
639,150,2,5,By motion the meeting was adjourned.,Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,11,,0,minutes/2020/2020-05-11/2020-05-12_planning-commission.md
640,151,2,1,"Commissioner Burggraaf – I will make a motion to approve the Minutes for April 14, 2020 as presented",Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,15,14,0,minutes/2020/2020-06-08/2020-06-09_planning-commission.md
641,151,2,2,"Commissioner Quigley I move that we approve File #29C20 for the placement of Dutch Brothers Coffee kiosk beyond the setback based on the Findings in 1-6 with provisions stated by Staff, with an addition that we would require that sidewalk to continue all the way across the frontage of the property as has been suggested in our comments tonight and that also a recommendation that Staff would work with the architects to implement some of the architectural designs that were discussed tonight in the elevation moving from 5400 South up to the building, giving more of a steps in bringing the building",Procedural/Administrative,7-0 Pass,Pass,pc_recommendation,Positive,approve,keyword,high,75,case_no,high,11,15,1,minutes/2020/2020-06-08/2020-06-09_planning-commission.md
642,151,2,3,Commissioner Quigley - I move that we send a negative recommendation to the City Council for File #6Z20 to amend the zoning map for the property at 4645 South 1175 West from R-1-10 to R-1-5 based upon the Findings as outlined in the Staff Report,Land-Use/Zoning,Negative recommendation 7-0,Pass,pc_recommendation,Negative,deny,keyword,high,76,case_no,high,11,14,1,minutes/2020/2020-06-08/2020-06-09_planning-commission.md
643,151,2,4,By motion the meeting was adjourned.,Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,15,,0,minutes/2020/2020-06-08/2020-06-09_planning-commission.md
644,152,2,1,"Commissioner Quigley – I move for approval of the Consent Agenda consisting of the Planning Commission Minutes for May 12th and June 9th, 2020, with one correction to the May 12th minutes in paragraph 3.5.1, third sentence which should read, “Commissioner Quigley felt that was unfortunate because he did not feel it would negatively affect their property to the east.” Adding the word “not” as indicated",Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,11,9,0,minutes/2020/2020-07-13/2020-07-14_planning-commission.md
645,152,2,2,Commissioner Barbieri I move that we send a positive recommendation to the City Council for File #7Z20 for a Zoning Map amendment from Limited Commercial and R-1-8 to RM-8 for parcels located at 3399 West and 3397 West 4700 South based on the Findings outlined in the Staff Report,Land-Use/Zoning,Positive recommendation 6-1,Pass,pc_recommendation,Positive,approve,keyword,high,74,case_no,high,1,9,1,minutes/2020/2020-07-13/2020-07-14_planning-commission.md
646,152,2,3,By motion the meeting was adjourned.,Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,1,,0,minutes/2020/2020-07-13/2020-07-14_planning-commission.md
647,153,2,1,"Commissioner Burggraaf - I move for approval of the Minutes for July 14, 2020 as presented",Procedural/Administrative,Pass (unanimous),Pass,pc_final_action,,procedural,keyword,high,,,,15,9,0,minutes/2020/2020-08-10/2020-08-11_planning-commission.md
