source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
planning_commission/minutes/2023/2023-01-09/2023-01-12_planning-commission-meeting.md,2,2023-01-12,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-cup,high
planning_commission/minutes/2023/2023-01-09/2023-01-12_planning-commission-meeting.md,3,2023-01-12,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,6,0,,roll-call,Negative recommendation 6:0,rule:lu-rezone,high
planning_commission/minutes/2023/2023-01-09/2023-01-12_planning-commission-meeting.md,4,2023-01-12,PlanningCommission,Land-Use/Zoning,Land-Use,Conditional-Use,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-cup,high
planning_commission/minutes/2023/2023-01-09/2023-01-12_planning-commission-meeting.md,5,2023-01-12,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),rule:lu-subdiv,high
planning_commission/minutes/2023/2023-01-09/2023-01-12_planning-commission-meeting.md,6,2023-01-12,PlanningCommission,Other,Other,,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,rule:no-signal,low
planning_commission/minutes/2023/2023-01-09/2023-01-12_planning-commission-meeting.md,7,2023-01-12,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,6,0,,roll-call,6:0 Pass,crosswalk,high
planning_commission/minutes/2023/2023-01-23/2023-01-26_planning-commission-meeting.md,1,2023-01-26,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,5,0,,roll-call,5:0 Denied (Final Action),rule:lu-site,high
planning_commission/minutes/2023/2023-01-23/2023-01-26_planning-commission-meeting.md,2,2023-01-26,PlanningCommission,Procedural/Administrative,Land-Use,Subdivision-Plat,final-action,pass,5,0,,roll-call,5:0 Pass,rule:lu-subdiv,high
planning_commission/minutes/2023/2023-01-23/2023-01-26_planning-commission-meeting.md,3,2023-01-26,PlanningCommission,Land-Use/Zoning,Land-Use,Site-Plan-Design-Review,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-site,high
planning_commission/minutes/2023/2023-01-23/2023-01-26_planning-commission-meeting.md,4,2023-01-26,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),rule:lu-subdiv,high
planning_commission/minutes/2023/2023-01-23/2023-01-26_planning-commission-meeting.md,5,2023-01-26,PlanningCommission,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
planning_commission/minutes/2023/2023-01-23/2023-01-26_planning-commission-meeting.md,6,2023-01-26,PlanningCommission,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
planning_commission/minutes/2023/2023-02-06/2023-02-09_planning-commission-meeting.md,1,2023-02-09,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,final-action,fail,3,4,,roll-call,3:4 Denied (Final Action),rule:lu-subdiv,high
planning_commission/minutes/2023/2023-02-06/2023-02-09_planning-commission-meeting.md,2,2023-02-09,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,7,0,,roll-call,7:0 Pass,crosswalk,high
planning_commission/minutes/2023/2023-02-06/2023-02-09_planning-commission-meeting.md,3,2023-02-09,PlanningCommission,Other,Other,,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,rule:no-signal,low
planning_commission/minutes/2023/2023-02-06/2023-02-09_planning-commission-meeting.md,4,2023-02-09,PlanningCommission,Other,Other,,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,rule:no-signal,low
planning_commission/minutes/2023/2023-02-06/2023-02-09_planning-commission-meeting.md,5,2023-02-09,PlanningCommission,Other,Other,,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,rule:no-signal,low
planning_commission/minutes/2023/2023-02-06/2023-02-09_planning-commission-meeting.md,6,2023-02-09,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,7,0,,roll-call,7:0 Pass,crosswalk,high
planning_commission/minutes/2023/2023-02-06/2023-02-09_planning-commission-meeting.md,7,2023-02-09,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
planning_commission/minutes/2023/2023-02-20/2023-02-23_planning-commission-meeting.md,1,2023-02-23,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5:0 Approved (Final Action),crosswalk,high
planning_commission/minutes/2023/2023-02-20/2023-02-23_planning-commission-meeting.md,2,2023-02-23,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,5:0 Pass,crosswalk,high
