source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
pmn_backfill/roa/2024-01-31_pc-roa.md,3,2024-01-31,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,8,0,,roll-call,Positive recommendation 8:0,crosswalk,high
pmn_backfill/roa/2024-02-14_pc-roa.md,1,2024-02-14,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,6,1,,roll-call,Positive recommendation 6:1,crosswalk,high
pmn_backfill/roa/2024-02-28_pc-roa.md,1,2024-02-28,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,crosswalk,high
pmn_backfill/roa/2024-02-28_pc-roa.md,2,2024-02-28,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2024-03-13_pc-roa.md,1,2024-03-13,PlanningCommission,Subdivision/Plat,Land-Use,Subdivision-Plat,final-action,pass,6,1,,roll-call,6:1 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2024-03-13_pc-roa.md,2,2024-03-13,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,crosswalk,high
pmn_backfill/roa/2024-03-27_pc-roa.md,1,2024-03-27,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,crosswalk,high
pmn_backfill/roa/2024-03-27_pc-roa.md,2,2024-03-27,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,crosswalk,high
pmn_backfill/roa/2024-03-27_pc-roa.md,3,2024-03-27,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,crosswalk,high
pmn_backfill/roa/2024-03-27_pc-roa.md,4,2024-03-27,PlanningCommission,Subdivision/Plat,Land-Use,Subdivision-Plat,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2024-04-10_pc-roa.md,1,2024-04-10,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,8,0,,roll-call,Negative recommendation 8:0,crosswalk,high
pmn_backfill/roa/2024-04-10_pc-roa.md,2,2024-04-10,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,8,0,,roll-call,8:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2024-05-08_pc-roa.md,1,2024-05-08,PlanningCommission,Conditional Use Permit,Land-Use,Conditional-Use,procedural,pass,7,0,,roll-call,7:0 Continued (Final Action),crosswalk,high
pmn_backfill/roa/2024-05-08_pc-roa.md,2,2024-05-08,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,crosswalk,high
pmn_backfill/roa/2024-05-22_pc-roa.md,1,2024-05-22,PlanningCommission,Subdivision/Plat,Land-Use,Subdivision-Plat,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,crosswalk,high
pmn_backfill/roa/2024-05-22_pc-roa.md,2,2024-05-22,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,crosswalk,high
pmn_backfill/roa/2024-05-22_pc-roa.md,3,2024-05-22,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,crosswalk,high
pmn_backfill/roa/2024-05-22_pc-roa.md,4,2024-05-22,PlanningCommission,Subdivision/Plat,Land-Use,Subdivision-Plat,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,crosswalk,high
pmn_backfill/roa/2024-05-22_pc-roa.md,5,2024-05-22,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,crosswalk,high
pmn_backfill/roa/2024-06-26_pc-roa.md,1,2024-06-26,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,8,0,,roll-call,Positive recommendation 8:0,crosswalk,high
pmn_backfill/roa/2024-06-26_pc-roa.md,2,2024-06-26,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,8,0,,roll-call,Positive recommendation 8:0,crosswalk,high
pmn_backfill/roa/2024-06-26_pc-roa.md,3,2024-06-26,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,procedural,pass,8,0,,roll-call,8:0 Continued (Final Action),crosswalk,high
pmn_backfill/roa/2024-07-10_pc-roa.md,1,2024-07-10,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,5,0,,roll-call,5:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2024-07-10_pc-roa.md,2,2024-07-10,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,4,0,,roll-call,Positive recommendation 4:0,crosswalk,high
pmn_backfill/roa/2024-07-10_pc-roa.md,3,2024-07-10,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,5,0,,roll-call,Positive recommendation 5:0,crosswalk,high
pmn_backfill/roa/2024-07-10_pc-roa.md,4,2024-07-10,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,5,0,,tally-only,Recommendation 5:0,crosswalk,high
pmn_backfill/roa/2024-07-10_pc-roa.md,5,2024-07-10,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,5,0,,tally-only,Recommendation 5:0,crosswalk,high
pmn_backfill/roa/2024-08-14_pc-roa.md,1,2024-08-14,PlanningCommission,Conditional Use Permit,Land-Use,Conditional-Use,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2024-08-14_pc-roa.md,2,2024-08-14,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2024-08-14_pc-roa.md,3,2024-08-14,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2024-08-14_pc-roa.md,4,2024-08-14,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2024-08-14_pc-roa.md,5,2024-08-14,PlanningCommission,Subdivision/Plat,Land-Use,Subdivision-Plat,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
pmn_backfill/roa/2024-08-14_pc-roa.md,6,2024-08-14,PlanningCommission,Subdivision/Plat,Land-Use,Subdivision-Plat,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2024-08-14_pc-roa.md,7,2024-08-14,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,6,0,,roll-call,Positive recommendation 6:0,crosswalk,high
pmn_backfill/roa/2024-08-14_pc-roa.md,8,2024-08-14,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,6,0,,roll-call,6:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2024-08-28_pc-roa.md,1,2024-08-28,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,crosswalk,high
pmn_backfill/roa/2024-08-28_pc-roa.md,2,2024-08-28,PlanningCommission,Ordinance Text Amendment,Land-Use,Text-Amendment,recommendation,pass,7,0,,roll-call,Recommendation 7:0,crosswalk,high
pmn_backfill/roa/2024-08-28_pc-roa.md,3,2024-08-28,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,7,0,,tally-only,7:0 Approved (Final Action),crosswalk,high
pmn_backfill/roa/2024-08-28_pc-roa.md,4,2024-08-28,PlanningCommission,General Plan Amendment,Land-Use,General-Plan-Amendment,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,crosswalk,high
pmn_backfill/roa/2024-08-28_pc-roa.md,5,2024-08-28,PlanningCommission,Rezone,Land-Use,Rezone,recommendation,pass,7,0,,roll-call,Positive recommendation 7:0,crosswalk,high
pmn_backfill/roa/2024-08-28_pc-roa.md,6,2024-08-28,PlanningCommission,Project Plan,Land-Use,Site-Plan-Design-Review,final-action,pass,7,0,,roll-call,7:0 Approved (Final Action),crosswalk,high
